listing_id,Property_Title,Price_Raw,Location_Info,Sector,Room_Number,Area_m2,Link,Scraped_At,Page
sector-4-emil-racovita-aleea-terasei-apartament-3-camere-IDFUAY,Sector 4 ! Emil Racovita - Aleea Terasei - Apartament 3 Camere -,84 900 €,Sector 4 ! Emil Racovita - Aleea Terasei - Apartament 3 Camere -,4,3,68.0,https://www.storia.ro/ro/oferta/sector-4-emil-racovita-aleea-terasei-apartament-3-camere-IDFUAY,2025-12-27T16:43:02,18
apartament-2-camere-gata-de-mutat-3-min-stb-sector-4-IDFUAX,Apartament 2 camere Gata de mutat 3 min Stb Sector 4,97 350 €,Apartament 2 camere Gata de mutat 3 min Stb Sector 4,4,2,59.0,https://www.storia.ro/ro/oferta/apartament-2-camere-gata-de-mutat-3-min-stb-sector-4-IDFUAX,2025-12-27T16:43:03,18
sector-4-turnu-magurele-garsoniera-disponibila-imediat-IDFUAU,Sector 4 ! Turnu Magurele - Garsoniera - Disponibila imediat,51 900 €,Sector 4 ! Turnu Magurele - Garsoniera - Disponibila imediat,4,3,29.0,https://www.storia.ro/ro/oferta/sector-4-turnu-magurele-garsoniera-disponibila-imediat-IDFUAU,2025-12-27T16:43:06,18
oferta-noua-sos-giurgiului-str-soimus-2-camere-disponibil-IDFUAR,Oferta noua !! Sos Giurgiului - Str Soimus - 2 camere - disponibil,92 000 €,"Strada Fratii Fagaraseanu, Giurgiului, Sectorul 4, Bucuresti",4,2,48.74,https://www.storia.ro/ro/oferta/oferta-noua-sos-giurgiului-str-soimus-2-camere-disponibil-IDFUAR,2025-12-27T16:43:06,18
apartament-generos-n-cartierul-primverii-bucureti-IDFUAQ,"Apartament generos în cartierul Primăverii, București",800 000 €,"Primaverii, Sectorul 1, Bucuresti",1,4,138.0,https://www.storia.ro/ro/oferta/apartament-generos-n-cartierul-primverii-bucureti-IDFUAQ,2025-12-27T16:43:06,18
apartament-2-camere-sector-4-discount-10-pentru-avans-90-IDFUAL,Apartament 2 camere Sector 4 Discount 10% pentru avans 90%,103 770 €,Apartament 2 camere Sector 4 Discount 10% pentru avans 90%,4,2,58.0,https://www.storia.ro/ro/oferta/apartament-2-camere-sector-4-discount-10-pentru-avans-90-IDFUAL,2025-12-27T16:43:06,18
2-camere-exigent-parcare-IDFUAM,2 Camere Exigent + Parcare,195 000 €,"Militari, Sectorul 6, Bucuresti",6,2,59.0,https://www.storia.ro/ro/oferta/2-camere-exigent-parcare-IDFUAM,2025-12-27T16:43:06,18
apartament-renovat-parter-din-4-anvelopat-balcon-boxa-liber-IDEIx5,"Apartament renovat, parter din 4, anvelopat, balcon, boxa, liber.",120 000 €,"Strada Valea Argesului, Drumul Taberei, Sectorul 6, Bucuresti",6,3,61.0,https://www.storia.ro/ro/oferta/apartament-renovat-parter-din-4-anvelopat-balcon-boxa-liber-IDEIx5,2025-12-27T16:43:06,18
apartament-3-camere-decomandat-doua-balcoane-zona-bd-metalurgiei-IDBTS6,"Apartament 3 camere, decomandat, doua balcoane, zona Bd. Metalurgiei",125 300 €,"Aparatorii Patriei, Sectorul 4, Bucuresti",4,3,85.66,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-doua-balcoane-zona-bd-metalurgiei-IDBTS6,2025-12-27T16:43:07,18
apartament-3-camere-apusului-etaj-intermediar-renovat-IDFUAz,Apartament 3 Camere | Apusului | Etaj Intermediar | Renovat,127 000 €,"Militari, Sectorul 6, Bucuresti",6,3,63.6,https://www.storia.ro/ro/oferta/apartament-3-camere-apusului-etaj-intermediar-renovat-IDFUAz,2025-12-27T16:43:07,18
popesti-leordeni-sfintii-voievozi-garsoniera-terasa-IDFUAw,Popesti Leordeni - Sfintii Voievozi - Garsoniera+ terasa -,63 000 €,,,2,88.0,https://www.storia.ro/ro/oferta/popesti-leordeni-sfintii-voievozi-garsoniera-terasa-IDFUAw,2025-12-27T16:43:09,18
apartament-2-camere-soseaua-pantelimon-291-a-IDFUAu,Apartament 2 camere - Soseaua Pantelimon 291 A,85 000 €,"Soseaua Pantelimon, Pantelimon, Sectorul 2, Bucuresti",2,2,49.0,https://www.storia.ro/ro/oferta/apartament-2-camere-soseaua-pantelimon-291-a-IDFUAu,2025-12-27T16:43:10,18
apartament-2-camere-decomandat-renovat-str-paleologu-5b-IDFUAf,"Apartament 2 camere decomandat, renovat, Str. Paleologu 5B",130 000 €,"Strada Doctor Paleologu, Traian, Sectorul 2, Bucuresti",2,2,56.0,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-renovat-str-paleologu-5b-IDFUAf,2025-12-27T16:43:10,18
apartament-3-camere-confort-siguranta-si-liniste-IDFUAd,"Apartament 3 camere - confort , siguranta si liniste",98 000 €,"Strada Biserica Marcuta, Pantelimon, Sectorul 2, Bucuresti",2,3,60.0,https://www.storia.ro/ro/oferta/apartament-3-camere-confort-siguranta-si-liniste-IDFUAd,2025-12-27T16:43:10,18
apartament-2-camere-quartz-residence-strada-cruilor-IDFUAb,Apartament 2 Camere Quartz Residence Strada Cărăușilor,128 000 €,"Strada Carausilor, Baicului, Sectorul 2, Bucuresti",2,2,60.0,https://www.storia.ro/ro/oferta/apartament-2-camere-quartz-residence-strada-cruilor-IDFUAb,2025-12-27T16:43:10,18
apartament-2-camere-semidecomandat-metrou-obor-IDFUAa,Apartament 2 camere semidecomandat – Metrou Obor,95 000 €,"Soseaua Mihai Bravu, Obor, Sectorul 2, Bucuresti",2,2,51.0,https://www.storia.ro/ro/oferta/apartament-2-camere-semidecomandat-metrou-obor-IDFUAa,2025-12-27T16:43:10,18
